医院名称,等级,特色,电话,地址,简介,科室列表
上海交通大学医学院附属同仁医院东院,无,无,021-62524259(总机),上海市愚园路786号,,"1.消化内科
2.内科
3.心内科
4.肾内科
5.神经内科
6.血管外科
7.外科
8.泌尿外科
9.骨外科
10.脊柱外科
11.肿瘤外科
12.中医肛肠科
13.介入科
14.耳鼻咽喉科
15.肿瘤科
16.中医科
17.康复医学科
18.检验科
"
上海长宁区妇幼保健院,无,无,021-62288686(总机),上海市武夷路773号,,"1.妇科
2.新生儿科
3.产科
4.计划生育科
5.儿童保健科
6.乳腺外科
7.男科
8.超声科
9.中医妇科
10.生殖医学中心
11.普内科
12.口腔科
"
上海市长宁区精神卫生中心,无,无,021-22139500(总机),上海市长宁区协和路299号,,"1.精神心理科
2.老年病内科
"
上海交通大学医学院附属新华医院,三级甲等,综合,"021-25078999(总机),021-25076947(特需预约挂号),021-69692701(崇明分院)",上海市杨浦区控江路1665号,新华医院是上海交通大学医学院附属教学医院，创建于1958年，是新中国成立以来上海自行设计建设的首家综合性医院。通过新华人五十多年的励精图治，已成为一所学科门类齐全、具有专业特色，集医教研和管理于一体的现代化综合性医院。医院是全国先进集体、全国卫生系统先进单位、全国卫生系统卫生文化建设先进单位和上海市文明单位。　　学科齐全，具有特色医院学科齐全，现有员工3490人，开放床位数2000余张，53个临床科室，8个医疗技术与服务平台。医院整体医疗实力雄厚，特色鲜明，现有10个国家临床重点专科，国家卫生计生委儿童结石病诊疗中心、上海市小儿外科临床医学中心、上海市危重孕产妇和新生儿抢救中心、上海市产前诊断中心、上海市听力障碍诊治中心以及7个上海交通大学专病诊治中心。　　科教比翼，硕果累累医院拥有国家及上海市重点学科或研究基地共计11个。近年来科研成果迭出，获得国家科技进步奖2项、省部级科技进步奖16项；省部级以上科研课题419项；发表SCI文章668篇。新华临床医学院设有上海交通大学医学院临床医学系、临床营养系、儿科学系、耳鼻咽喉科学系四个医学教育学系，现有博士生导师63名、硕士生导师130名。医院主办的专业学术期刊《临床儿科杂志》和《教育生物学杂志》被多家国际检索数据库收录。　　设施一流，设备精良医院占地面积109亩，总体建筑面积19.2万平方米，设施一流的急诊大楼、门诊与内科大楼、外科大楼、医疗保健综合楼、小儿外科大楼、妇儿楼、口腔皮肤科楼和医技楼为病人提供了优美、舒适的就医环境。TOMO、PET-CT、DSCT（双源CT）、SPECT、LA、DSA、MRI、集成激光超声介入系统、氩氦低温手术系统、移动式术中磁共振成像系统、高压（低压）氧治疗舱和准分子激光等组成了强大的现代化医疗设备阵容，确保了诊断和治疗的品质。　　品牌辐射，协调发展按照上海市医疗卫生体制改革“5+3+1”工程部署，医院全面负责崇明三级医院创建工作，派出阵容强大的专家队伍常驻崇明分院，分院成功通过三级医院评审，成为上海市唯一一家国家肿瘤规范化诊治试点医院。医院作为龙头组建“新华－崇明医疗联合体”，实现岛内24家公立医院的资源共享。受上海市委、市政府委托，负责统筹协调“喀什地区二院重点学科建设项目”，打造南疆医学中心。医院在援滇工作中表现出色，被授予“全国城乡医院对口支援工作先进集体”称号，是上海市唯一获此称号的医院。　　交流合作，与时俱进自上世纪七十年代起，医院开展与其它国家的医疗机构共建合作项目，与国外逾20所大学和医院建立友好合作和学术交流，包括美国芝加哥大学普里茨克尔医学院、美国威斯康辛大学医学院、加拿大麦克马斯特大学、加拿大渥太华大学医学院、法国巴黎卫生局及其下属数十家医院等。各类国际交流活动蓬勃开展，既为医院的发展增添了活力，也充分展示了中国医院良好形象。,"1.心血管内科
2.消化内科
3.内分泌科
4.肾脏内科
5.神经内科
6.呼吸内科
7.血液内科
8.老年医学科
9.急救中心
10.普通内科
11.普外科
12.胸外科
13.骨科
14.泌尿外科
15.肛肠外科
16.心胸外科
17.神经外科
18.整形外科
19.肝移植科
20.血管外科
21.肾移植科
22.心脏外科
23.小儿泌尿外科
24.小儿呼吸科
25.小儿外科
26.小儿骨科
27.小儿神经外科
28.儿童内分泌科
29.小儿内科
30.儿科心脏中心
31.新生儿科
32.产科
33.妇科
34.小儿神经内科
35.小儿血液肿瘤科
36.儿童与青少年保健科
37.小儿康复科
38.小儿消化科
39.儿科
40.小儿心血管科
41.耳鼻喉头颈外科
42.眼科
43.皮肤科
44.口腔科
45.肿瘤科
46.放射科
47.中医儿科
48.疼痛科
49.甲状腺核医学科
50.中医科
51.生殖中心
52.临床心理科
53.超声诊断科
54.重症监护室
55.针灸科
56.中医伤科
57.放射介入科
58.麻醉科
59.临床营养科
60.体检中心
61.病理科
62.康复医学科
63.药学部
64.检验科
65.医学影像科
66.精神科
67.职业病科
"
同济大学附属上海市肺科医院,三级甲等,呼吸,"021-65115006(总机),021-55672180(预约挂号)",上海市杨浦区政民路507号,同济大学附属上海市肺科医院（上海市职业病防治院）创建于1933年，现已发展成为一所集医疗、教学与科研功能为一体的现代化三级甲等专科教学医院，连年跻身全国医院排行榜百强。医院连续获得“上海市文明单位”称号，行风政风测评成绩全市前茅。　　医院占地面积10.3万平方米，环境整洁，设施精良。作为“上海市花园单位”，已有近一个世纪历史的叶家花园绿树成荫，为病人的治疗和休养提供了优美、舒适的环境。　　医院开放床位数980张，设有胸外科、肿瘤科、呼吸科、结核科、职业病科等14个临床科室、11个医技科室和多个研究机构。现拥有胸外科、呼吸科、职业病科3个国家临床重点专科，3个市级重点学科，1个市级重点实验室和国家药品临床研究基地。其中胸外科专科排名全国三强。2013年，医院提供门急诊服务75余万人次，出院人次5.7万，胸外科手术5321例，较“十一五”末期分别增长41.6％、62.9％和92.3％。　　全院千余职工中，专业技术人员占85％，其中硕、博导34人，拥有一支包含973、863首席科学家、国家杰青、千人计划、上海市领军人才、浦江人才、曙光计划、启明星计划、新世纪人才等的优秀人才队伍。　　近五年，医院共获得863和“十一五”、“十二五”重大专项等国家级课题57项、省部级课题91项、校局级课题69项；获中华医学科技奖二等奖、中华护理学会科技二等奖、教育部科研成果奖、上海医学科技奖一等奖等各级各类奖项。　　面向未来，全院职工坚持以“精医重道、务实创新”的肺科精神，努力将肺科医院打造成一所专科诊疗特色鲜明，重点学科国内领先，人才队伍储备充足，医疗服务水平一流，硬件设施先进完备，内部管理专业科学，医院文化和谐温馨，就医环境整洁优美的医、教、研全面可持续发展的现代化专科教学医院。,"1.胸外科
2.影像科
3.结核科
4.呼吸科
5.肿瘤科
6.肺循环科
7.中西医结合科
8.职业病科
9.麻醉科
10.急诊科
11.放疗科
12.特检科
13.体检科
14.核医学科
15.药剂科
16.营养部
17.重症监护室
18.病理科
19.尘肺科
20.医学检验科
"
上海东方肝胆外科医院,三级甲等,肝胆,"021-81887100(安亭新院总机),021-81887113(安亭新院门诊咨询)","总院:上海市杨浦区长海路225号,安亭新院:海嘉定区安亭镇墨玉北路7...",中国人民解放军第二军医大学第三附属医院（东方肝胆外科医院，东方肝胆外科研究所），由我国肝胆外科主要奠基人和开拓者、著名肝脏外科专家、中国科学院院士吴孟超教授创建并领导，是在1956年肝脏外科三人攻关小组、1978年全国第一个肝胆外科和1996年全国第一个肝胆外科专科医院基础上发展起来的以肝胆外科为特色的三级甲等综合医院。建筑面积20万平方米，展开床位1500张，是国内一次建成体量最大的医院。现为国家重点学科，国家级继续医学教育基地，全军肝胆外科专科中心，全军肝胆外科研究所，国家教育部和全军重点实验室，军队“重中之重”建设学科，上海市医学领先专业重点学科，上海市重中之重临床医学中心。　　医院长期坚持医、教、研相结合，在原发性肝癌的早期诊断和治疗，中晚期肝癌的综合治疗，原发性肝癌术后抗复发治疗，肿瘤的免疫治疗、介入治疗，复杂胆道疾病的手术治疗，肝胆疾病的内窥镜治疗以及肝移植等方面均居国内外先进水平。不仅采用传统的外科手术治疗方法，还采取了细胞治疗、微波方法、射频方法、氩氦刀方法、激光光敏技术、肝内肿瘤酒精注射疗法和经股动脉至肝动脉插管加栓塞疗法等。 于2015年10月18日试运行的安亭新院，是国内先进的研究型医院，在保持现有特色学科的基础上，建设内科等支撑学科，发展其他外科和专科，是一所设计理念先进、功能布局科学、医疗技术领先的三级甲等现代化综合性医院。作为第二军医大学实现“一体两翼”战略布局的“先锋队”，医院汇聚了以长海医院急诊科主任何建、骨科教授康一凡、长征医院心内科教授赵学为代表的近30名各学科领军人物倾情加盟，给肝胆外科以强有力的支撑。医院拥有上海首台第五代射波刀系统等国际一线品牌的大型检查检验设备，30间手术室全部为空气净化手术室，是国内一次性建成手术室最多的单体建筑。　　与医院毗邻的国家肝癌科学中心是由吴孟超院士和我国精准治疗的领军人物王红阳院士牵头成立的国家级肝癌研究中心，这个中心将以安亭新院为依托，紧紧围绕降低我国肝癌发病率、病死率的目标，精准聚焦肝癌研究领域的重大科技关键问题，开展肝炎、肝硬化向肝癌发展的预警与预防等转化医学研究，并为肝胆肿瘤的精准治疗提供支持，成为国内转化医学和精准治疗新高地。　　医院全年门诊量24.8万余人次，出院2.8万余人次，手术例次7900余人次。至2015年底，吴孟超院士率领同事们已成功实施肝脏切除术2万余例，胆道手术1万余例，积累了国际上最大宗的肝癌病例库和标本库，手术成功率达98.5％，肝癌术后5年总体生存率53.2％，小肝癌术后5年生存率达80％以上。术后生存时间最长的已达49年，患者至今健在。肝癌切除例数、切除率、生存率等指标均处于国际领先水平。1996 年成功施行肝移植5例，最小的病人年仅9岁。其中3例均健康生活至今，有的已大学毕业。目前肝移植已成为该院常规治疗方法之一。　　医院拥有一支由吴孟超院士领衔，以拔尖中青年为骨干的优秀科技干部队伍，现有中国科学院院士1名，中国工程院院士1名，博士生导师33名，硕士生导师80名，高级职称90名。1978 年以来，共培养博士后22 名，博士研究生112名，硕士研究生223名，并承担外国留学生、本科、大专、中专等教学任务，多年来还为全国各地培养进修生千余名，是国内培养肝胆外科高层次人才的教学基地。1996年1月，中央军委授予吴孟超院长“模范医学专家”荣誉称号。近年来，医院有1人入选长江学者奖励计划特聘教授，2 人入选国家“百千万”人才工程，1 人获中国有突出贡献博士，2人获全国“巾帼建功”标兵，3人获全军“育才奖”金奖，22人获全军“育才奖”银奖，2 人获总后“一代名师”、7人当选总后科技“金星”、“银星”、“新星”人才，4人获上海市“科技精英”称号，5人获上海市“银蛇奖”，1人获“上海教育功臣”荣誉称号，1人获军队专业技术重大贡献奖，8人享受政府特殊津贴。　　1996年至今，医院共获国家最高科学技术奖1项，国家自然科学二等奖1项，军队科技进步一、二、三等奖 12 项，军队医疗成果一、二、三等奖 44项，上海市科技进步一、二、三等奖 15 项，中华医学科技二等奖、三等奖各1项，上海市医学科技奖一、二、三等奖 11 项，上海市医疗成果一等奖、三等奖各1项。陈嘉庚医学奖 1 项，何梁何利基金奖 2 项。在研课题150项，资助经费13000万元。举办各类国际、全国学术会议三十余次。　　医院在院长吴孟超院士的领导下，为我国肝胆外科事业的发展作出了重大贡献。早在20世纪50年代，吴孟超等人制作和研究了200余例我国正常人肝脏标本，首次独创性地提出了中国人肝脏解剖的新见解，创立了以“五叶四段”为特色的肝脏外科解剖理论，为肝脏外科的开展奠定了重要的解剖学基础。60年代初期，他发明了简便、安全的肝脏外科手术新方法——常温下间歇肝门阻断切肝法，明显减少了肝脏手术出血，大大缩短了肝脏手术时间。 1963 年，吴孟超采用了常温下间歇肝门阻断法实施中肝叶切除术获得成功，成为肝脏外科的一大突破，进一步提高了肝癌及其他肝脏病症的外科疗效。1975年，吴孟超成功地切除了迄今为止世界上最大的重达18公斤的特大肝海绵状血管瘤，并发明了捆扎治疗血管瘤的新方法，使外科治疗肝海绵状血管瘤的成功率达到100％。他还创立了用肝动脉插管、栓塞、结扎的方法治疗不能切除的肝癌，在中、晚期肝癌治疗上取得了明显疗效。他曾带领课题组在上海开展了18万人次的高危人群肝癌普查，研究早期发现肝癌，使许多早期肝癌病人得到及时发现和治疗，并使临床确诊率提高到90％以上。吴孟超教授还提出了两个重要观点，即肝癌切除后复发再手术和肝癌二期手术。肝癌切除后复发再手术次数最高达5次；采用肝动脉阻断使不能手术切除的大肝癌缩小后，再行二期切除，疗效较佳。他又在我国首先采用了常温下无血切肝术，再次提高了手术成功率。其后，他又开展了小儿肝脏外科研究，成功地为12例 4~12 个月婴儿切除了重达800～ 1300克的巨大肝母细胞癌，除 1 例术后 2 年死亡外，其余患儿均健存，其中一例现已29岁。他还不间断地开展了半离体肝切除术、等离子手术刀、微波治疗肝癌、免疫综合疗法、单克隆抗体导向定位诊断和导向治疗、顺铂微球化疗等一系列新技术、新方法，并开始提出免疫化学治疗的新观念和治疗措施。进入 90 年代后，吴孟超教授又带领他的学生们开始与国外联合研究肝癌免疫治疗这一重大项目，并于 1993 年底获重大进展，研制出可使免疫系统识别并杀死肝癌细胞的新型疫苗，这种疫苗在大鼠体内实验成功。同时，他继续开辟肝脏手术的新领域，成功地开展了高难度的腹腔镜下肝癌、肝海绵状血管瘤切除术、肝破裂修补术和肝动脉结扎术，均为世界首例。 　　吴孟超教授领导的东方肝胆外科研究所作为军队科研、医学和教学的中心， 1979 年、1981年分别被批准为国家恢复研究生制度后的第一批硕士、博士授权点学科，1989年被批准为国家重点学科和军队开放实验室，1991年被批准为军队重点实验室和临床医学博士后流动站。研究所下设肿瘤免疫与基因治疗研究所、生物信号转导研究中心、分子肿瘤研究室、病毒与基因治疗实验室，同时承担了国家、军队和地方的许多重大科研课题，在肝胆外科及肝癌的基础和临床研究方面始终起着科研导向作用。,"1.呼吸科
2.心血管内科
3.肾病内科
4.肝胆外科
5.微创外科
6.普外科
7.肝脏移植科
8.泌尿外科
9.胸心外科
10.骨科
11.肝外六科
12.介入治疗科
13.特需科
14.肝脏内科
15.中西医结合科
16.肿瘤生物治疗科
17.超声诊疗科
18.放射科
19.麻醉科
20.病理科
21.药剂科
22.检验科
23.内镜病区
24.眼科
25.口腔科
26.妇科
"
上海杨浦区中医医院,无,无,021-61670600(总机),上海市杨浦区眉州路185号,,"1.中医骨伤科
2.中医内科
3.心内科
4.中医妇科
5.中医外科
6.脑病科
7.肛肠科
8.针灸科
9.普内科
10.治未病中心
11.眼科
"
上海市杨浦区市东医院,无,无,021-25066666(总机),上海市杨浦区市光路999号,,"1.神经内科
2.肾内科
3.心内科
4.呼吸内科
5.消化内科
6.内分泌科
7.血液科
8.普内科
9.神经外科
10.普外科
11.泌尿外科
12.骨科
13.儿科
14.妇科
15.肿瘤外科
16.肿瘤科
17.介入科
18.医学影像科
19.中医科
20.皮肤科
21.眼科
22.耳鼻喉科
23.放疗科
24.口腔内科
25.麻醉科
26.疼痛科
27.病理科
28.超声科
29.检验科
30.危重医学科
"
上海中医药大学附属普陀医院,无,无,021-22233222(总机),上海市兰溪路164号,上海市普陀区中心医院於1957年由市卫生局投资建成，1993年首批通过国家二级甲等综合性医院评审。2004年经上海市教委和上海市卫生局联合发文批准为上海中医药大学附属普陀医院。2010年通过上海市医院综合评价（评审）中心评审，正式成为三级乙等综合医院。经过半个多世纪的发展，普陀区中心医院已成为一所集医疗、教学、科研、预防、保健于一体的大型综合性医院。　　医院现核定床位1000张，实际开放床位972张，年门急诊215万人次，年出院病人近3万人次，年手术近1万例。现有职工1730人，卫技1451人，高级职称209人，医学博士后、博士、硕士208人。硕、博士导师61人。　　医院现有一级科室22个，二级科室54个。临床医疗科室50个，医技科室14个。其中，中医肿瘤科为国家临床重点专科；中医肿瘤科、老年科、急救科（联合）为国家中医药管理局重点学（专）科；骨伤科（联合）为国家教育部重点学科；肾内科、眼科、急诊科、心血管内科为上海市医学重点专科4个；中医肿瘤科、中医科为上海市中医特色专科；中医科为上海市示范中医科；骨伤科（联合）为上海市教委重点学科。医院拥有国家级课题12项（国家自然科学基金等），市级人才培养计划12名，国家级和市、区级重点学科建设35项，省部级科技奖励31项，科技成果44项，国家专利48项。　　医院拥有DSA、双梯度磁共振、64排螺旋CT等先进设备。医院的医疗护理质量督察和行风万人问卷病人满意度连续多年走在市卫生行业前列。　　医院获全国文明单位、全国精神文明建设工作先进单位、全国五一劳动奖状、全国医院文化建设先进单位、全国科教文卫体模范职工之家、全国管理创新模范医院、全国医药卫生系统先进集体、上海市文明单位十连冠、上海市医院文化建设先进单位等殊荣。,"1.心血管内科
2.消化内科
3.感染疾病科
4.内分泌科
5.呼吸内科
6.老年科
7.神经内科
8.肾病内科
9.风湿科
10.血液内科
11.急诊科
12.普外科
13.骨科
14.肛肠外科
15.神经外科
16.泌尿外科
17.血管外科
18.胸外科
19.妇产科
20.儿科
21.眼科
22.口腔科
23.中医内科
24.中医肿瘤科
25.康复科
26.皮肤科
27.耳鼻咽喉科
28.医学影像科
29.住院部监护房（四病区）
30.中医伤科
31.核医学科
"
上海普陀区人民医院,无,无,021-32274550(总机),上海市普陀区江宁路1291号,,"1.呼吸内科
2.消化内科
3.神经内科
4.心内科
5.老年科
6.内分泌科
7.普内科
8.感染性疾病科
9.普外科
10.神经外科
11.乳腺外科
12.骨科
13.泌尿外科
14.血管介入科
15.妇产科
16.儿内科
17.耳鼻喉科
18.眼科
19.中医内科
20.检验科
21.康复科
22.超声室
23.肿瘤诊断科
24.口腔科
"
上海普陀区妇婴保健院,无,无,021-62994352(总机),普陀区长寿路170号,,"1.计划生育门诊
2.妇产科
3.儿童保健科
4.儿科
5.产科
6.妇科
7.麻醉科
"
普陀区精神卫生中心,无,无,021-56056582,上海市普陀区志丹路211号,,"1.心理咨询科
"
上海中医药大学附属岳阳中西医结合医院,三级甲等,中医,"021-65161782(总机),021-62536300(分院)",总院:上海市虹口区甘河路110号;分院:青海路44号,"上海岳阳医院（上海中医药大学附属岳阳中西医结合医院）是集医疗、教学、科研为一体的三级甲等中西医结合综合性医院。全国卫生系统先进集体、全国首批重点中西医结合医院示范单位、全国医院文化建设先进单位、卫生部数字化医院示范点单位，连续七届蝉联上海市文明单位。 　　医院创建于1952年10月1日，原名""上海市公费医疗第五门诊部""（通称""五门诊""） 是建国后上海市第一所由国家成立的中医医疗机构。""五门诊""曾汇聚包括时任上海市中医学会第一届主任委员陆渊雷、孟河丁派传人章次公、石氏伤科第三代传人石筱山和石幼山兄弟、朱氏妇科第二代传人朱小南、喉科张赞臣、针灸陆瘦燕、一指禅推拿流派嫡传弟子和滚法推拿流派创始人丁季峰、眼科唐亮臣、痔科闻茂康等在内的一大批各科中医名家，先后在""五门诊"" 论道悬壶、教书育人。以后，""五门诊""先后在北京、上海各大中医医院成立时支援输送了29名中医名家，被誉为""名中医摇篮""。1976年1月，""五门诊""与成立于1958年、被誉为""中国现代推拿摇篮""的上海市推拿门诊部合并，在岳阳路45号扩建设立了具有住院、门诊综合诊疗能力的中医医院，成为上海中医学院附属医院。1995年根据上海市区域卫生规划的统一部署，岳阳医院整体迁至虹口区甘河路110号，床位规模扩增至400张，并于1998年转为中西医结合医院，成为当时上海唯一一所三级甲等中西医结合医院。2002年上海市针灸经络研究所并入，2003年青海路名医特诊部成立。医院本部、名医特诊部和针研所构成的""一院三地、一体两翼""格局形成，2006年，260张床位的病房A楼投入启用，2008年底，经上级卫生部门批准，床位扩大至900张，岳阳医院成为全国及上海市中西医结合主要临床研究基地和上海东北部区域医疗中心之一。 医疗资源充分 中西医结合诊疗优势明显 　　经过半个多世纪几代岳阳人的不懈努力，医院综合实力不断提升并逐步形成了自己的优势。目前医院拥有中医内科、中医外科、西医外科、妇科、儿科等27个临床科室，8个医技科室，设有各级各类专科专病门诊99个。拥有包括64排螺旋CT、MRI、大C臂DSA等先进诊疗设备和GMP认证的中药制剂设施。具有较雄厚的医疗保障能力，优良的手术水平、临床新技术拓展能力、重大抢救和应对突发公共卫生事件的能力。 　　医院拥有国家教育部重点培育学科1个（针灸推拿学），国家中医药管理局重点学科3个（中西医结合临床学科、推拿学科、针灸学科）、重点专病专科7个（中医妇科、血液科、康复科、推拿科、针灸科、痛风、胃食管返流病）、上海市临床医学中心1个（上海市针灸推拿临床医学中心）、上海市重点学科2个（针灸推拿学、中医妇科）、上海市中医特色专科7项。上海市首席名中医工作室1个、上海市名中医工作室5个。慢性再生障碍性贫血、痛风、溃疡性结肠炎、颈性眩晕、女性更年期综合征、痔病、压力性尿失禁等多个优势病种的疗效已达到国内和上海市先进水平。 　　医院同时注重优势技术的社区下沉与辐射，14项特色诊疗技术先后入选卫生部面向农村和城市社区推广适宜技术、国家中医药管理局特色诊疗技术和上海市中医药社区卫生服务适宜技术。2004年起在全市率先建立双向转诊网络，2007年派出18个""首席中医师""团队进驻周边18个卫生服务中心，3年服务人次超过百万。2009年""易筋经""项目的社区推广成为杨浦区09年度实事工程之一。2009年医院与虹口区乍浦路街道社区卫生服务中心签订合作协议，建立托管式康复病房，提高了社区医院经济效益的同时也为医院获得了良好的社会效益，显现了中西医结合医疗的品牌优势。 　　08年起，医院进一步探索将现有医疗资源进行重新整合，形成以科学规范的临床路径为指导，以多学科中西医交叉渗透为特点，以医院优势学科力量整合为支撑的新型专病单元的医疗管理服务模式。先后开设了卒中单元，脊柱病单元病房，代谢病整合门诊等，通过建设已经初显成效。 多层次人才培养   打造中西医结合人才高地 　　医院现有职工总数1611人，其中具有副高职称以上的专家212余人，硕博士生导师83人。医院拥有2位国家973项目首席科学家，先后有多人入选""全国名老中医继承班""、国家中医药管理局优秀中医临床人才等国家级人才培养项目。医院大力推进""人才建设工程""，以修炼中医师承队伍、中西医结合创新队伍、西医综合保障队伍的三支基本队伍和打造学科带头人/学术带头人群体、博硕士群体的两个精英群体为抓手，各专业、各层次人才队伍建设取得了显著成效。 　　2009年成立上海近代流派传承中心，设立中医内科、妇科、推拿、针灸流派临床传承研究室4个，成立由各个流派传人命名的工作室；启动临床传承跟师计划，确定首批42位继承人向27位流派传人跟师临诊培养；流派传承中心2009年招收3个硕士研究生，通过将传承工作与中医研究生教育相结合的模式，保证中医传承工作的可持续性发展，为流派传承的方法学研究提供新的途径。 　　医院注重培养高端人才也强调基础人才的建设培养，08年、09年先后院内启动二批""青苗计划""，现有36名32岁以下的青年医师入选。在全院形成了多层次、多条线人才培养联动运行机制。09年在院内开展首批""优秀学科带头人""、""优秀后备学科带头人""的评选，打造了一批医教研全方位发展的优秀学科带头人。 　　目前在医院临床、科研、教学领域，承担各类项目的负责人和主要研究者平均年龄在40~45岁左右，博硕士学历学位人才占据了绝对优势，承担获得医教研项目、经费资助以及各类成果的数量均有显著增加。医院拥有东方学者、上海市启明星、上海市医学领军人才等一大批医学优秀人才。 教学科研两翼齐飞  屡结硕果再攀新高 　　上海中医药大学岳阳临床医学院成立于1996年，至今发展成为拥有19个临床教研室，8个硕士点，8个博士点，5个博士后流动点，并成为WHO上海国际针灸培训中心临床实习基地，开设中医学（中西医结合方向）七年制、中西医结合临床医学专业（五年制本科）、康复治疗学（中西医结合方向）3个专业，每年承担上海中医药大学近700名研究生和本科生、近300名留学生的教学任务的办学规模。基本形成了以本科教育为主体，加速发展研究生教育的人才培养体系，成为医疗、教学、科研协调发展的临床医学院。近三年来主编、主审全国统编教材8部，主编、副主编上海市教委多媒体临床系列教材7部，在建上海市教委重点课程2项。 　　医院重视科技创新，目前拥有上海市针灸经络研究所、上海市中医药研究院附属推拿和中西医结合临床研究所等校级研究所3个，设有研究室9个，实验室10个，经国家中医药管理局的批准，推拿生物力学、针灸免疫、免疫实验、分子生物学（针灸）和脑神经生物实验室5个实验室成为国家中医药管理局三级实验室，研究平台已经初具规模。经过努力，医院科研成果硕果累累，科研项目显著增加，科研成果取得突破，奖励级别大幅提升，论文发表质量提高，学科建设成绩喜人，平台建设初具规模，创新团队基本形成。近两年，在研课题达到430项，在研经费由2006-2007年度的4900余万增长到8900余万，增长超过100％。先后获得包括上海市科技进步奖一等奖、国家教育部科技成果二等奖在内的9项科研奖励，发表SCI论文9篇，获专利7项，科研成果不断累积。 国际交流日益增加  文明文化共谱辉煌 　　医院积极开拓国际合作交流，提升医院综合影响力。每年医院接待来自美国、英国、日本、韩国等地的学习交流的团体和个人超过300余人次，近两年连续和与丹麦中部大区政府与德国汉堡Hanse Merkur医学中心、瑞典哥德堡大学等院校签订合作备忘录，并且选派优秀医务人员赴新加坡、台湾等地开展讲学和医疗工作。2009年医院还与澳大利亚政府共同合作，开展节能项目建设，开创了两国在上海医院节能领域的首次合作。 　　医院连续14年蝉联上海市文明单位称号，近年来先后获得全国学习型先进班组、上海市文明班组、上海市工人先锋号、上海市""五一""劳动奖状、上海市新长征突击队、全国卫生系统先进工作者、全国医院文化建设先进个人、全国知识型优秀个人、上海市劳动模范、上海市三八红旗手、上海市十佳知识型职工等百余项集体个人荣誉称号。2009年医院首次获得全国卫生系统先进集体、上海学习型企事业标兵单位，医院文明工作迈上新台阶。 　　历经50多年的风雨和发展，上海中医药大学附属岳阳中西医结合医院正以""精、勤、仁、信""的核心理念，以""关爱生命、敬业奉献、中西合璧、追求卓越""的服务宗旨，在全院职工的共同努力下，形成了集医疗、教学、科研为一体，融中医和西医两种医学体系之特长的全国重点中西医结合医院。","1.妇科
2.皮肤科
3.中医内科
4.推拿科
5.针灸科
6.肛肠科
7.骨伤科
8.消化内科
9.肿瘤科
10.血液内科
11.呼吸内科
12.儿科
13.风湿免疫科
14.肾病内科
15.神经内科
16.内分泌科
17.心血管内科
18.老年病科
19.耳鼻喉科
20.肝科
21.中医肾内科
22.乳腺外科
23.脊柱病科
24.放射介入科
25.普通外科
26.医学心理科
27.康复科
28.口腔科
29.泌尿科
30.神经外科
31.胸外科
32.急诊医学科
33.眼科
34.急诊ICU
35.超声影像科
36.医学影像科
37.病理科
38.体检科
39.营养科
40.疼痛科
41.麻醉科
"
上海市中西医结合医院,三级甲等,无,"021-65415910(总机),021-65415910-6622(门诊办),021-65415910－6846(VIP门诊),021-35100012(市场办),021-65417680(院办)",上海市虹口区保定路230号、虹口区保定路184号(住院部),,"1.内科
2.脑病科
3.肾病内科
4.消化内科
5.呼吸科
6.血液科
7.急诊科
8.全科医疗科
9.感染性疾病科
10.风湿病科
11.脉管科
12.外科
13.微创外科
14.骨科
15.神经外科
16.泌尿外科
17.整形科
18.儿科
19.妇科
20.皮肤科
21.中医内科
22.针灸科
23.肿瘤科
24.耳鼻咽喉科
25.眼科
26.口腔科
27.医学检验科
28.心电诊断科
29.放射科
30.超声诊断科
31.病理科
32.营养科
33.预防保健科
34.麻醉科
"
上海建工医院,无,无,021-65313009(总机),中山北一路666号,,"1.心血管内科
2.神经内科
3.消化内科
4.肾病内科
5.内分泌科
6.呼吸内科
7.急诊科
8.骨科
9.外科
10.乳腺外科
11.泌尿外科
12.神经外科
13.妇科
14.眼科
15.中医科
16.肿瘤科
17.耳鼻喉科
18.皮肤科
19.口腔科
20.康复科
21.麻醉科
22.药剂科
23.病理科
24.放射科
"
